full_text,username,Label,tokoh
Dipikir-pikir iya juga. Kok dari kemaren aku ga liat story orang2 bumn (yang ku kenal) pake biru2 ini ya? Wkwkwk,LZilfi,2,Luluk
@lulukhamidah @aniesbaswedan @DPP_PKB @cakimiNOW Bu Luluk seandainya terpilih jadi gubernur apa sikap anda terhadap organisasi silat dan juga sound horeg yg sering meresahkan? Saya warga Jawa Timur dan belum menentukan pilihan.,niryoyo,1,Luluk
Usung Luluk-Lukman di Pilgub Jatim PKB Sebut Khofifah Tak Punya Prestasi https://t.co/SYuguwp7Qy,rilpolitikcom,1,Luluk
@LexWu_13 Jatim berat.. Bu Risma aja berat apalagi luluk,PickHokiwanava,1,Luluk
Momen pasangan Khofifah - Emil Kena SKAK MATCH sama Bu Risma dan Bu Luluk. #burismamerakyat #pendidikangratis #pelayanrakyat #resikresikjawatimur #jawatimurmenyala #jatimresik #TimnasDay Dian Sastrowardoyo https://t.co/D1xhhRqRZ4,wakgym,2,Luluk
@tornadoexpres Suwuun,lulukhamidah,0,Luluk
@borni_alan @luman_official Seru ini,lulukhamidah,0,Luluk
Cagub Luluk Nur Hamidah Sebut Stunting dan Kemiskinan di Jawa Timur Masih Tinggi https://t.co/mU1hbKjI9R,VIVAcoid,0,Luluk
@muhammadrobbah Siip,lulukhamidah,0,Luluk
@ommi_siregar Amiin,lulukhamidah,0,Luluk
@GilangGi88 Tks nggih,lulukhamidah,0,Luluk
Pasangan Luluk-Lukman Tidak Ambil Pusing Soal Elektabilitas Buncit di Pilkada Jatim 2024 https://t.co/BHptdxbYPw,e100ss,1,Luluk
Pasangan Khofifah Indar Parawansa-Emil Dardak berpeluang menjalani periode kedua pemerintahannya dengan kokohnya tingkat keterpilihan mereka. #SurveiLitbangKompas #SurveiPilkada2024 #Pilkada2024 #AdadiKompas https://t.co/GrsQPjtG4a,hariankompas,0,Khofifah
Khofifah Indar Parawansa dipilih terutama karena dinilai sudah ada bukti nyata hasil kerjanya... https://t.co/AXIL68hrcE Indikator Politik merilis survei Khofifah-Emil Dardak mendapat suara paling unggul disusul Tri Rismaharini-Gus Hans dan Luluk Nur Hamidah-Lukmanul Khakim.,maximilan_angel,0,Khofifah
Kontroversi Lambang PKB di Gambar Khofifah-Emil Ini Tanggapan Tim Luluk-Lukman. Muncul lambang PKB di gambar profil paslon nomor urut 2 Khofifah Indar Parawansa-Emil Elestianto Dardak. -- https://t.co/NUD0HwjmgQ #PolitikPemerintahan #DebatCagubJatim via @beritajatimcom,beritajatimcom,1,Khofifah
Panen Bunga Sedap Malam di Pasuruan Khofifah: Petani Milenial Jatim Tertinggi di Indonesia: Calon Gubernur Jawa Timur No 2 Khofifah Indar Parawansa panen bunga sedap malam milik petani milenial di Desa Pekoren Rembang Kabupaten Pasuruan https://t.co/E1fbrfaiEa https://t.co/c4CNwIZbal,tvOneNews,0,Khofifah
@aprill_mop @JendelaHati13 @radenmasdimas__ @idextratime Khofifah kuat di jatim risma bnyk disukai di daerah sby sda dan sekitarnya meskipun sya suka risma tp felling ku bakal menang khofifah. Dan ternyata benar,Ulfah_chr,0,Khofifah
