full_text,username,Label,tokoh
Dipikir-pikir iya juga. Kok dari kemaren aku ga liat story orang2 bumn (yang ku kenal) pake biru2 ini ya? Wkwkwk,LZilfi,2,Luluk
@lulukhamidah @aniesbaswedan @DPP_PKB @cakimiNOW Bu Luluk seandainya terpilih jadi gubernur apa sikap anda terhadap organisasi silat dan juga sound horeg yg sering meresahkan? Saya warga Jawa Timur dan belum menentukan pilihan.,niryoyo,1,Luluk
Usung Luluk-Lukman di Pilgub Jatim PKB Sebut Khofifah Tak Punya Prestasi https://t.co/SYuguwp7Qy,rilpolitikcom,1,Luluk
@LexWu_13 Jatim berat.. Bu Risma aja berat apalagi luluk,PickHokiwanava,1,Luluk
Momen pasangan Khofifah - Emil Kena SKAK MATCH sama Bu Risma dan Bu Luluk. #burismamerakyat #pendidikangratis #pelayanrakyat #resikresikjawatimur #jawatimurmenyala #jatimresik #TimnasDay Dian Sastrowardoyo https://t.co/D1xhhRqRZ4,wakgym,2,Luluk
@tornadoexpres Suwuun,lulukhamidah,0,Luluk
@borni_alan @luman_official Seru ini,lulukhamidah,0,Luluk
Cagub Luluk Nur Hamidah Sebut Stunting dan Kemiskinan di Jawa Timur Masih Tinggi https://t.co/mU1hbKjI9R,VIVAcoid,0,Luluk
@muhammadrobbah Siip,lulukhamidah,0,Luluk
@ommi_siregar Amiin,lulukhamidah,0,Luluk
@GilangGi88 Tks nggih,lulukhamidah,0,Luluk
Pasangan Luluk-Lukman Tidak Ambil Pusing Soal Elektabilitas Buncit di Pilkada Jatim 2024 https://t.co/BHptdxbYPw,e100ss,1,Luluk
Pakar Politik: Pertempuran Sesungguhnya Khofifah-Risma Luluk Pemecah Suara Petahana https://t.co/dEB4oySvuD,e100ss,0,Luluk
Arahkan pandangan pada Pilkada Pilgub @JatimPemprov 2024 1. Ibu Risma @PDI_Perjuangan 2. Ibu @KhofifahIP multi partai 3. Ibu Luluk @DPP_PKB Bila 3 Srikandi dari Jawa Timur ini final Maju Maka pertama kali dalam Sejarah PEREMPUAN2 PERKASA MAJU PILKADA Saya pegang Ibu Risma https://t.co/QjRb162ju2,Simbok_Dharmi,0,Luluk
PKB: KH Marzuki Belum Berkenan Maju Pilgub Jatim Makanya Usung Luluk-Lukman. #focus #daftarpilkada #news #text https://t.co/vJeRN6xWl0,kumparan,1,Luluk
@Candj09 Bu luluk abot NU all out nderek bu Khofifah,Heraloebss,2,Luluk
Bu luluk kok baru sekarang ngomongnya 5 tahun terakhir kemana?,indra_kencana,1,Luluk
@hwallchii Wkwkwk jambak2an Aku jg belum tau itu bu luluk blm kupelajari. Tapi pas debat kemarin katanya bagus,ninkarch,2,Luluk
Luluk Nur Hamidah: Semoga pengunduran diri Ketua Umum Golkar bukan bagian dari politik cawe-cawe pihak luar yang menggunakan berbagai instrumen kekuasaan untuk mengendalikan partai politik,lulukhamidah,0,Luluk
Anggota Tim Pengawas (Timwas) Haji DPR RI Luluk Nur Hamidah meminta pemerintah mengevaluasi layanan konsumsi bagi jemaah haji menyusul banyaknya kas... https://t.co/DhofsMTJCf,inilahdotcom,0,Luluk
