full_text,username,Label,tokoh
@UusRsd @RamaWijaya43149 Betul betul betul.. seingat gw Pramono ini ahli strategi partai banteng yg ngorbitin Bu Risma Pak Jokowi dan Ganjar. Kita lihat manuver beliau selanjutnya,ZSaptono,2,Risma
Blusukan ke Tempat Pelelangan Ikan Puger Jember Tri Rismaharini Komitmen Pada Kesejahteraan Nelayan Calon Gubernur Jawa Timur (Jatim) nomor urut 3 Tri Rismaharini melakukan blusukan ke pesisir tempat pelelangan ikan Puger Jember Jumat (25/10/2024). Risma menyoroti tentang https://t.co/B8LZLtD4O2,Mata_Netizen62,0,Risma
Kalau Pingin Jatim Maju Dan Sejahtera Pilih Risma -Gus Hans! Jangan Pilih Paslon Yang Di Obok-obok KPK! Kampanye di Madiun Tri Rismaharini Siap Bantu PKL Agar Naik Kelas Calon gubernur Jawa Timur nomor urut 3 Tri Rismaharini mengunjungi pedagang kaki lima (PKL) di Lapangan https://t.co/dOC3nnNNqQ,Mata_Netizen62,0,Risma
Tri Rismaharini salah satu dari tiga kandidat calon gubernur perempuan di Pilkada Jawa Timur mengandalkan rekam jejak kepemimpinan yang sudah teruji. Ia akan berbagi kisah tentang proses pencalonannya serta menjawab berbagai tantangan yang tengah dihadapi masyarakat Jawa Timur. https://t.co/5nxrNBb4ey,Metro_TV,0,Risma
@WGreborn @akbarfaizal68 @jokowi @pramonoanung @Andikaperkasa09 @Tri_Rismaharini Jijik x kampanye Ampe segitunya https://t.co/Ia1Q1NLJrs,Jery09078407,0,Risma
@akbarfaizal68 @jokowi @pramonoanung @Andikaperkasa09 @Tri_Rismaharini Halah Pret na godang hatam lakkeap,adil_mcgerards,0,Risma
@akbarfaizal68 @jokowi @pramonoanung @Andikaperkasa09 @Tri_Rismaharini Beda pandangan politik dan pilihan apa gak boleh om. ? Apa wajib hukumnya org yg pernah dekat wajib didukung ?,yoh_setyo,2,Risma
Only Emak @Tri_Rismaharini Katakan tidak pada yg lain..,Wan77575,2,Risma
Eri Cahyadi Akui Gaya Kepemimpinannya Terinspirasi dari Tri Rismaharini Berita selengkapnya klik lik di bio Sumber: https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia. https://t.co/wHobCdAmRC #pilkada #trirismaharini #ericahyadi #pilkada #ketik #ketikmedia #ketikonline #fyp https://t.co/Gcsa54kvVO,ketikmedia,0,Risma
Kmrn pas ke Surabaya ngobrol sama supir gocar nanyain orang2 sini pd suka bu khofifah apa bu risma. Ternyata jawabannya bu risma Gue blg padahal di media sering beritanya bu risma marah-marah terus kata dia itu ibarat ibu sayang ke anaknya,shalsabilaputri,2,Risma
@angsalvata Karna kita capek nyari duitnya makanya marah,avtubpics,0,Risma
@JhonSitorus_18 Anies - Tri Rismaharini juga Sabi sih,RyanAl21,0,Risma
